corner,speed_class,apex_distance_m,window_start_m,window_end_m,reference_min_speed_kph,comparison_min_speed_kph,reference_min_speed_delta_kph,reference_brake_point_m,comparison_brake_point_m,reference_later_braking_m,reference_throttle_pickup_m,comparison_throttle_pickup_m,reference_earlier_throttle_m,reference_gain_seconds
T1,medium,377.9,177.9,502.3,172.3,164.9,7.3,305.0,305.0,0.0,430.0,420.0,-10.0,0.1078
T2,high,626.7,502.3,730.6,219.8,222.2,-2.4,330.0,330.0,0.0,,,,-0.0102
T3,high,834.5,730.6,922.0,266.9,266.7,0.1,,,,,,,-0.0027
T4,high,1009.6,922.0,1209.6,275.0,275.6,-0.6,,,,1010.0,1010.0,0.0,0.0036
T5,low,1416.3,1216.3,1616.3,108.4,107.0,1.4,1315.0,1305.0,10.0,1480.0,1470.0,-10.0,0.064
T6,low,2616.8,2416.8,2647.1,68.1,70.7,-2.6,2525.0,2510.0,15.0,2720.0,2720.0,0.0,0.2927
T7,low,2677.4,2647.1,2777.4,87.0,103.0,-16.0,2525.0,2510.0,15.0,2720.0,2720.0,0.0,-0.1372
T8,medium,2877.3,2777.4,3077.3,195.0,194.5,0.5,2580.0,2580.0,0.0,,,,-0.0504
T9,medium,3682.0,3482.0,3854.1,181.2,182.0,-0.8,3565.0,3530.0,35.0,3715.0,3745.0,30.0,0.0431
T10,high,4026.2,3854.1,4106.6,236.1,235.2,0.9,,,,4030.0,4030.0,0.0,-0.0116
T11,high,4187.1,4106.6,4246.1,232.5,211.5,21.0,,,,4190.0,4190.0,0.0,0.0251
T12,low,4305.0,4246.1,4358.2,106.0,110.1,-4.1,4225.0,4210.0,15.0,4565.0,4575.0,10.0,-0.069
T13,medium,4411.5,4358.2,4473.1,134.0,135.2,-1.1,4225.0,4210.0,15.0,4565.0,4575.0,10.0,-0.0637
T14,medium,4534.7,4473.1,4669.8,161.0,162.0,-1.0,4235.0,4235.0,0.0,4565.0,4575.0,10.0,-0.0008
T15,high,4804.9,4669.8,4924.3,230.3,230.6,-0.4,,,,4805.0,4805.0,0.0,-0.0007
T16,medium,5043.7,4924.3,5220.0,138.8,136.3,2.6,4950.0,4955.0,-5.0,5095.0,5085.0,-10.0,0.1026
