mini_sector,start_distance_m,end_distance_m,phase,reference_gain_seconds,reference_mean_speed_delta_kph
1,0.0,245.0,straight-line,0.0057,0.3
2,250.0,495.0,braking,0.1088,3.9
3,500.0,745.0,mixed,-0.0114,-0.9
4,750.0,995.0,straight-line,-0.0034,-0.3
5,1000.0,1245.0,straight-line,0.0047,0.4
6,1250.0,1495.0,braking,0.1145,5.8
7,1500.0,1745.0,corner/traction,-0.0653,-3.9
8,1750.0,1995.0,straight-line/DRS,-0.0179,-1.6
9,2000.0,2245.0,straight-line/DRS,-0.0141,-1.5
10,2250.0,2495.0,straight-line/DRS,-0.0077,-1.1
11,2500.0,2745.0,braking,0.1515,7.2
12,2750.0,2995.0,corner/traction,-0.0467,-3.1
13,3000.0,3245.0,straight-line/DRS,-0.0145,-1.1
14,3250.0,3495.0,straight-line/DRS,-0.0161,-1.8
15,3500.0,3745.0,braking,0.0292,3.3
16,3750.0,3995.0,mixed,0.0043,0.2
17,4000.0,4245.0,mixed,0.0223,0.8
18,4250.0,4495.0,braking,-0.1329,-1.4
19,4500.0,4745.0,corner/traction,-0.0056,-0.0
20,4750.0,4995.0,braking,0.0837,3.8
21,5000.0,5220.0,corner/traction,0.0131,0.1
